,AMBIENT_TEMPERATURE,DISCHARGE_FLOW_COMMON,DISCHARGE_PRESSURE,DISCHARGE_TEMP_1,FLOW_1,FLOW_2,GROSS_LOAD,IB_SEAL_DRAIN_TEMP,MOTOR_CURRENT,MOTOR_IB_TEMP_1,MOTOR_OB_TEMP_1,MOTOR_STATOR_TEMP_1,MOTOR_STATOR_TEMP_2,MOTOR_STATOR_TEMP_3,OB_SEAL_DRAIN_TEMP,PUMP_DELTA_PRESS_CV,PUMP_IB_TEMP_1,PUMP_OB_TEMP_1,PUMP_OB_TEMP_2,SUCTION_PRESSURE_1,SUCTION_STRAINER_DP,SUCTION_TEMP_1
2018-11-19 08:21:46.651,19.29776001,1347.164795,2.6174891000000002,180.1500244,1337.867432,1339.033203,845.6356812,39.53585434,85.23692322,50.03884125,33.12072372,68.40155029,65.320961,63.83390045,38.65562057,1.415119767,56.43469238,67.77475739,60.49699402,1.202369332,19.76062775,180.1770325
2018-11-19 08:21:51.657,19.68382454,1013.345093,2.534440756,167.2266541,1000.779846,1003.935913,639.3440552,39.3028183,73.07279205,49.67520142,33.4308548,63.96432877,61.35697937,59.89774323,37.4392395,1.5686982870000001,58.51729202,70.36104584,61.85219955,0.965742469,11.27259541,167.1997375
2018-11-19 08:21:56.663,20.63630486,1272.945923,2.593063116,177.0965576,1265.546387,1265.546387,781.6693115,40.00194931,83.18515015,49.62326813,34.02534866,67.01753998,64.25126648,62.94721985,38.9921608,1.4532854560000001,57.18948746,68.66274261,61.38302612,1.13977766,17.80654716,177.1235657
2018-11-19 08:22:01.669,21.25426483,1216.377075,2.607718706,177.0695801,1204.73938,1207.335205,757.6818848,40.77890778,80.84025574,50.89609146,35.08534241,68.71499634,66.02559662,64.51213074,39.92426682,1.475574136,57.73616791,68.97621918,61.56547546,1.13214457,16.27992249,176.9885559
2018-11-19 08:22:06.681,22.31022835,1147.782715,2.575964928,172.1308594,1135.376953,1138.145386,717.7008057,40.96024704,78.78846741,51.36378098,35.93876266,67.33085632,64.69475555,63.36444473,39.71710587,1.514045119,59.29861832,70.96220398,63.10367203,1.061919808,14.57010269,172.2387085
2018-11-19 08:22:11.688,23.54687881,1237.039063,2.597948313,176.6914825,1229.420166,1230.693115,763.2789307,41.8928833,82.01270294,52.32536316,36.89587021,70.41333008,67.61808014,66.20829773,41.08975601,1.465803742,58.8037529,70.20425415,62.89505768,1.13214457,17.3180275,176.7184753
2018-11-19 08:22:16.694,24.91288948,1242.179932,2.595505714,176.5564423,1228.232422,1229.50708,765.6776733,42.43707275,82.01270294,53.65123367,38.00854492,71.69417572,68.97621918,67.59196471999999,41.68561935,1.464887738,59.4809494,70.67468262,63.36444473,1.130617976,16.95163727,176.6104736
2018-11-19 08:22:21.701,25.76371193,1248.37915,2.595505714,176.6914825,1237.037964,1238.303345,762.4793701,42.90357208,82.30581665,54.53543472,38.68151093,72.68785095,69.96904755,68.42767334,42.1520195,1.464887738,59.92380142,71.01447296,63.70350647,1.130617976,16.95163727,176.7454529
2018-11-19 08:22:26.707,26.25368309,1230.606323,2.597948313,176.8264771,1216.530273,1220.385254,756.0827026,43.3182869,81.4264679,55.10770035,39.17338181,73.2109375,70.49172974,68.92398071,42.592556,1.470383644,60.28854752,71.30202484,63.99039841,1.127564669,16.52418327,176.7994843
2018-11-19 08:22:31.713,26.51158333,1153.661011,2.583292961,173.6683044,1145.461426,1148.201172,712.105835,43.13684082,78.78846741,55.18573761,39.35461426,72.03407288,69.34195709,67.93143463,42.3074913,1.509160161,61.01816177,72.29555511,64.72084808,1.0741328,14.81436253,173.6143799
2018-11-19 08:22:36.720,26.53738213,1115.993896,2.568637133,171.7802887,1106.076416,1110.337524,677.723938,43.1627655,77.17636108,55.05566406,39.43228531,70.85764313,68.37542725,66.86090851,41.8928833,1.5280900000000002,61.59154129,72.94936371,65.13829803,1.040547132,13.65412998,171.7802887
2018-11-19 08:22:41.726,26.40841675,1243.561157,2.588177919,176.3674011,1233.442505,1235.97998,755.2831421,43.00723267,82.30581665,54.92560577,38.96627045,72.50476074,69.86452484,68.34931946,42.3852272,1.466719627,60.36671066,71.51116943,64.30342865,1.121458292,16.89057159,176.3404083
2018-11-19 08:22:46.732,25.99580383,1273.234619,2.588177919,176.664444,1262.116699,1264.595703,780.0701294,42.72212601,82.89203644,54.92560577,38.50031662,72.5570755,69.70774841,68.16649628,42.04836655,1.451453447,60.10617065,71.14517975,63.80781937,1.136724472,17.44015503,176.6914825
2018-11-19 08:22:51.738,25.35117722,1206.858032,2.590620518,175.7733917,1199.039673,1200.346313,742.4898071,42.3074913,81.13335419,54.79553604,38.08620453,72.03407288,69.34195709,67.74864197,41.84107208,1.482901931,59.92380142,71.01447296,63.5209198,1.107718587,16.15779114,175.7194366
2018-11-19 08:22:56.744,24.88712502,1070.243896,2.568637133,171.1871338,1058.404541,1061.376709,665.7301636,41.94471359,75.71080017,53.85924911,37.4133606,69.02845764,66.41710663,64.98175049,40.70120621,1.546409488,60.60122299,72.11251068,63.99039841,1.022227645,12.73815346,171.1601868
