,AMBIENT_TEMPERATURE,DISCHARGE_FLOW_COMMON,DISCHARGE_PRESSURE,DISCHARGE_TEMP_1,FLOW_1,FLOW_2,GROSS_LOAD,IB_SEAL_DRAIN_TEMP,MOTOR_CURRENT,MOTOR_IB_TEMP_1,MOTOR_OB_TEMP_1,MOTOR_STATOR_TEMP_1,MOTOR_STATOR_TEMP_2,MOTOR_STATOR_TEMP_3,OB_SEAL_DRAIN_TEMP,PUMP_DELTA_PRESS_CV,PUMP_IB_TEMP_1,PUMP_OB_TEMP_1,PUMP_OB_TEMP_2,SUCTION_PRESSURE_1,SUCTION_STRAINER_DP,SUCTION_TEMP_1
2018-11-18 16:35:36.345,23.05732727,1335.047363,2.602833748,179.2039337,1326.83313,1329.185181,816.8508301,41.91880035,85.23692322,53.23521423,36.27500916,71.48501587,68.58438873,66.93921661,41.24517822,1.420310616,58.28294373,69.94293213,62.63431549,1.182523131,19.45530128,179.2309418
2018-11-18 16:35:41.352,22.85120964,1330.380005,2.605276346,179.1769257,1318.587646,1319.771729,818.4498901,42.1520195,85.23692322,54.30136871,37.36159515,72.97554016,69.99518585,68.34931946,41.53015518,1.424279809,58.85585403,70.20425415,62.97327805,1.180996537,19.02784538,179.1769257
2018-11-18 16:35:46.359,22.56782532,1325.65918,2.610161304,179.2039337,1312.635498,1313.824829,816.8508301,41.86698532,85.23692322,53.85924911,36.61130905,72.21710968,69.15908051,67.59196471999999,41.21928787,1.42611146,58.46521759,69.99518585,62.76469421,1.184049845,19.14997673,179.1769257
2018-11-18 16:35:51.365,22.15566254,1364.73584,2.602833748,179.7445068,1353.249878,1355.55481,844.036499,41.34880829,85.82315826,52.63729095,35.11120224,70.88378906,67.77475739,66.18218994,40.62350464,1.408097625,57.73616791,69.47260284,62.19110489,1.194736123,20.37127495,179.7445068
2018-11-18 16:35:56.371,21.97536469,1358.373779,2.593063116,179.0147705,1345.664307,1346.824707,830.4436646,40.80481339,84.94380951,51.62363434,34.69749069,69.99518585,66.99142456,65.37316132,40.15732574,1.416646361,57.18948746,69.05458069,61.66973877,1.176416755,20.0659523,179.0147705
2018-11-18 16:36:01.377,21.71781349,1325.167847,2.585735321,178.2041168,1314.506592,1318.069824,817.6503906,40.90843201,84.06447601,51.70161057,34.8267746,69.91679382,66.9131012,65.4514389,40.18322754,1.42611146,57.29359055,69.13295746,61.74795151,1.159623861,19.08891106,178.1770782
2018-11-18 16:36:06.383,21.25426483,1304.130615,2.585735321,177.6638184,1293.289673,1294.498779,802.458374,40.33860779,83.47826385,51.44173431,34.54236984,69.2113266,66.20829773,64.64256287,39.63942719,1.438324451,57.31962967,69.23745728,61.69580841,1.14741087,18.41719818,177.6367798
2018-11-18 16:36:11.390,21.04825783,1313.128418,2.568637133,176.7454529,1303.553833,1304.754639,798.4604492,40.57171249,83.47826385,50.76620102,34.05118561,67.98368073,65.26877594,63.75566101,39.89836502,1.438019156,56.8771286,68.92398071,61.46123505,1.130617976,18.53932571,176.7184753
2018-11-18 16:36:16.396,20.76502609,1312.684326,2.578407526,177.366684,1305.512207,1306.710327,803.2579346,40.75302124,83.47826385,52.19539642,35.65426254,70.23038483,67.3830719,65.84289551,39.97604752,1.435576558,57.76218796,69.23745728,61.85219955,1.142830968,18.78358459,177.3936768
2018-11-18 16:36:21.402,21.33151627,1306.621704,2.588177919,177.5287476,1295.800293,1297.00708,805.6566162,40.64941406,83.18515015,52.42933655,35.75771332,70.4394455,67.46139526,65.97338104,39.89836502,1.44076705,57.84030914,69.34195709,62.0346756,1.14741087,18.41719818,177.5287476
2018-11-18 16:36:26.408,22.31022835,1231.564331,2.578407526,175.341507,1220.050659,1222.61853,756.0827026,40.98613739,81.4264679,52.58529282,35.86117172,69.96904755,67.09586334,65.60800934,40.18322754,1.476795435,58.12669373,69.70774841,62.29538727,1.101612091,16.4631176,175.3144836
